lead_time,order_volume,weather_index,supplier_reliability,disruption_status
18.3,5385,0.92,0.58,1
20.8,9454,0.78,0.39,1
16.1,6872,0.57,0.11,1
23.4,8590,0.7,0.9,0
10.1,3447,0.92,0.04,1
7.8,888,0.71,0.86,0
5.1,5045,0.37,0.36,1
21.5,2989,0.71,0.64,1
17.3,9669,0.04,0.92,0
13.7,5373,0.39,0.15,1
15.4,3372,0.41,0.57,0
8.4,9169,0.17,0.76,0
26.2,5334,0.02,0.76,0
14.6,9869,0.13,0.53,0
14.5,7002,0.65,0.62,0
17.6,7712,0.8,0.76,0
16.4,2592,0.99,0.84,1
15.1,6845,0.35,0.76,0
10.0,9674,0.6,0.35,1
16.4,4340,0.94,1.0,0
23.4,2422,0.17,0.43,1
20.7,5398,0.72,0.02,1
22.0,1961,0.75,0.36,1
11.4,6720,0.09,0.13,1
9.1,4147,0.86,0.12,1
13.4,7681,0.81,0.28,1
14.3,7420,0.03,0.05,0
19.5,1198,0.09,0.69,0
5.5,5347,0.05,0.07,1
21.6,1834,0.33,0.2,1
13.2,4763,0.51,0.09,1
11.9,6009,0.53,0.06,1
8.9,3516,0.27,0.27,1
5.7,6402,0.91,0.57,1
18.1,7693,0.37,0.96,0
14.4,780,0.05,0.88,0
7.6,8263,0.3,0.88,0
7.5,2170,0.53,0.18,1
12.3,6768,0.41,0.26,1
22.3,8101,0.27,0.08,1
12.7,2291,0.13,0.78,0
6.5,8959,0.82,0.07,1
12.8,9904,1.0,0.56,1
12.6,7686,0.33,0.25,1
0.5,8972,0.38,0.24,1
13.7,9264,0.62,0.99,0
12.8,2946,0.72,0.76,0
17.5,2563,0.39,0.84,0
23.2,6937,0.9,0.57,1
19.6,5022,0.56,0.87,0
12.7,4492,0.45,0.65,0
8.5,3283,0.65,0.95,0
26.9,3267,0.95,0.28,1
14.3,3097,0.79,0.6,0
14.1,6621,0.04,0.69,0
13.9,3327,0.33,0.39,0
15.0,6664,0.47,0.88,0
13.3,2124,0.31,0.98,0
11.1,429,0.7,0.49,1
11.3,2586,0.83,0.39,1
13.8,1255,0.73,0.47,1
11.3,4577,0.99,0.85,0
10.4,2285,0.27,0.65,0
14.5,7186,0.87,0.04,1
12.7,2417,0.77,0.54,1
21.5,3721,0.36,0.02,1
0.7,4591,0.73,0.78,0
19.5,2611,0.1,0.33,0
20.2,7942,0.79,0.47,1
3.6,8741,0.53,0.8,0
12.3,9646,0.29,0.05,1
12.1,7948,0.66,0.16,1
7.0,5504,0.64,0.4,1
10.1,5493,0.21,0.23,1
8.4,1393,0.03,0.34,0
22.8,2565,0.43,1.0,0
18.7,3275,0.57,0.83,0
20.4,7949,0.88,0.88,0
17.6,9525,0.93,0.94,0
8.4,9729,0.53,0.34,1
11.4,8544,0.75,0.3,1
16.4,8310,0.44,0.23,1
7.9,2859,0.75,0.83,1
17.6,5355,0.2,0.68,0
12.8,8514,0.37,0.24,1
12.1,102,0.63,0.38,1
17.6,8230,0.02,0.51,0
16.2,1359,0.72,0.53,0
12.2,8290,0.84,0.89,1
19.8,4423,0.4,0.38,1
8.6,5873,0.45,0.91,0
17.1,2668,0.85,0.44,1
17.0,1985,0.78,0.75,0
12.5,7160,0.29,0.93,0
15.6,7944,0.32,0.91,0
7.7,6211,0.68,0.06,1
18.6,9591,0.56,0.21,1
13.1,2438,0.16,0.48,0
11.4,9368,0.31,0.43,0
19.2,3858,0.9,0.64,1
10.5,4910,0.69,0.94,0
7.0,9239,0.99,0.11,1
6.2,6891,0.77,0.45,1
17.0,7271,0.94,0.19,1
7.6,2831,0.22,0.89,0
22.8,969,0.77,0.96,0
3.6,5266,0.02,0.48,0
22.5,193,0.67,0.1,1
15.1,3087,0.47,0.79,0
13.5,8727,0.35,0.7,0
11.3,5047,0.86,0.35,1
16.0,6751,0.85,0.89,0
13.8,7079,0.02,0.98,0
19.5,6894,0.61,0.56,1
14.6,6624,0.37,0.57,0
14.8,3244,0.42,0.3,1
12.2,3687,0.83,0.58,1
13.7,176,0.31,0.44,0
15.5,9107,0.94,0.3,1
5.4,9059,0.18,0.07,1
7.3,6653,0.66,0.25,1
17.7,8397,0.67,0.2,1
14.9,6794,0.25,0.54,0
13.1,2973,0.32,0.6,0
14.1,3446,0.83,0.61,0
15.7,7124,0.76,0.39,1
11.3,3248,0.33,0.42,1
10.1,9757,0.53,0.83,0
15.0,344,0.06,0.48,0
9.1,2725,0.21,0.99,0
16.0,3949,0.49,0.44,1
5.5,9697,0.09,0.65,0
19.1,9273,0.84,0.05,1
16.4,7837,0.72,0.65,1
15.3,8433,0.94,0.85,0
18.9,992,0.69,0.94,0
22.3,5587,0.94,1.0,0
19.1,7351,0.55,0.28,1
4.8,7410,0.6,0.58,0
7.6,2499,0.98,0.45,1
10.9,4740,0.64,0.56,0
14.1,3060,0.03,0.16,1
16.6,7425,0.72,0.86,0
10.4,1569,0.91,0.91,1
14.9,3474,0.8,0.45,1
10.2,8947,0.58,0.28,1
10.9,8334,0.67,0.14,1
7.0,8023,0.99,0.68,1
9.4,5222,0.09,0.31,1
7.2,9952,0.67,0.91,0
9.1,5487,0.28,0.67,0
19.3,7731,0.64,0.65,0
9.3,7326,0.61,0.56,0
27.2,5208,0.15,0.05,1
16.5,2324,0.21,0.93,0
14.9,2210,0.62,0.63,1
9.7,1057,0.13,0.99,0
17.5,7246,0.27,0.54,0
11.1,660,0.84,0.71,0
14.6,9622,0.33,0.06,1
26.8,7513,0.49,0.63,1
13.5,1412,0.94,0.76,1
19.7,1921,0.23,0.78,0
10.5,5746,0.39,0.77,0
13.8,5045,0.61,0.23,1
22.9,5474,0.76,0.98,0
10.9,2751,0.9,1.0,0
23.1,4801,0.92,0.08,1
17.5,2977,0.78,0.94,0
11.2,5682,0.23,0.29,1
17.2,5490,0.02,0.69,0
18.9,4183,0.38,0.34,1
17.1,845,0.14,0.97,0
6.1,8849,0.71,0.1,1
10.4,1041,0.66,0.5,1
12.8,4123,0.04,0.43,0
13.6,2396,0.84,0.33,1
17.1,1039,0.25,0.65,0
14.9,1710,0.43,0.13,1
7.3,6400,0.67,0.72,1
15.9,1825,0.43,0.98,0
17.1,9276,0.44,0.8,0
16.8,9879,0.07,0.86,0
19.4,9628,0.4,0.36,1
18.2,8953,0.76,0.32,1
16.3,7287,0.92,0.52,1
13.6,132,0.41,0.05,1
5.7,6085,0.42,0.95,0
16.1,3514,0.7,0.14,1
15.0,1256,0.94,0.9,0
15.4,3226,0.27,0.08,1
7.6,8352,0.44,0.82,1
8.6,1643,0.8,0.15,1
19.3,371,0.61,0.04,1
13.8,5395,0.11,0.72,0
17.4,4176,0.63,0.28,1
14.1,6002,0.19,0.71,0
14.1,2809,0.51,0.56,0
18.7,9446,0.53,0.11,1
11.4,5321,0.88,0.93,0
14.5,8629,0.46,0.45,0
11.7,6822,0.28,0.73,0
11.8,8301,0.23,0.5,1
12.5,4244,0.87,0.6,1
15.1,5706,0.17,0.3,1
11.6,6866,0.43,0.2,1
20.3,830,0.19,0.54,0
9.5,4990,0.77,0.44,1
13.1,1748,0.47,0.39,0
11.8,4328,0.35,0.67,0
21.2,2230,0.36,0.69,0
15.0,4466,0.85,0.05,1
19.2,1606,0.55,0.34,1
6.6,2258,0.72,0.41,1
15.3,3016,0.9,0.1,1
18.4,3329,0.9,0.24,1
14.4,9958,0.33,0.05,1
19.3,6365,0.95,1.0,0
11.4,4236,0.02,0.74,0
21.0,2789,0.38,0.09,1
25.5,7290,0.9,0.02,1
12.2,2910,0.27,0.72,0
